cond,seed,config,method,job,site,fed_auroc,fed_auprc,own_gain,local_auroc,local_auprc,prevalence,best_epoch_mean,delta_auroc,delta_auprc
1.0_0.0,456,A_gammA_S,fedavg,alpha1.0_gamma0.0_seed456/fedavg,site_A,0.7911767365830811,0.6083306104249646,0.0441748094835077,0.789323,0.616259,0.2621,8.0,0.0018537365830810781,-0.007928389575035388
1.0_0.0,456,A_gammA_S,fedavg,alpha1.0_gamma0.0_seed456/fedavg,site_B,0.7738249526614769,0.4219945052624809,0.0600469878673117,0.787634,0.45449,0.1471,8.4,-0.013809047338523062,-0.032495494737519115
1.0_0.0,456,A_gammA_S,fedavg,alpha1.0_gamma0.0_seed456/fedavg,site_C,0.802564377942178,0.5141566585351368,0.0580951913878421,0.801448,0.531717,0.1742,4.6,0.001116377942178004,-0.017560341464863183
1.0_0.0,456,A_gammA_S,fedavg,alpha1.0_gamma0.0_seed456/fedavg,site_D,0.7569003411461036,0.2933375861351073,0.0582212360938603,0.761555,0.357275,0.1221,7.2,-0.004654658853896376,-0.06393741386489271
1.0_0.0,456,A_gammA_S,fedavg,alpha1.0_gamma0.0_seed456/fedavg,site_E,0.7563929171077374,0.3197429568196446,0.0460010649192558,0.768119,0.342945,0.1071,7.6,-0.011726082892262624,-0.023202043180355403
1.0_0.0,456,A_gammA_S,fedprox,alpha1.0_gamma0.0_seed456/fedprox,site_A,0.7913544634874697,0.6094616929557934,0.0443525363878963,0.789323,0.616259,0.2621,8.0,0.0020314634874697424,-0.0067973070442065575
1.0_0.0,456,A_gammA_S,fedprox,alpha1.0_gamma0.0_seed456/fedprox,site_B,0.7735567010309279,0.4217040197369365,0.0597787362367627,0.787634,0.45449,0.1471,8.4,-0.01407729896907206,-0.03278598026306351
1.0_0.0,456,A_gammA_S,fedprox,alpha1.0_gamma0.0_seed456/fedprox,site_C,0.8027015735278324,0.5127931403285627,0.0582323869734965,0.801448,0.531717,0.1742,4.6,0.0012535735278323967,-0.018923859671437282
1.0_0.0,456,A_gammA_S,fedprox,alpha1.0_gamma0.0_seed456/fedprox,site_D,0.7516471431106231,0.2794206947801251,0.0529680380583797,0.761555,0.357275,0.1221,7.2,-0.009907856889376898,-0.07785430521987491
1.0_0.0,456,A_gammA_S,fedprox,alpha1.0_gamma0.0_seed456/fedprox,site_E,0.7531464554244212,0.3222257540197476,0.0427546032359396,0.768119,0.342945,0.1071,7.6,-0.014972544575578839,-0.020719245980252377
1.0_0.0,456,A_gammA_S,fedadaptproto,alpha1.0_gamma0.0_seed456/fedadaptproto,site_A,0.7928986628187668,0.6189642325172778,0.0458967357191933,0.789323,0.616259,0.2621,8.0,0.003575662818766756,0.0027052325172778335
1.0_0.0,456,A_gammA_S,fedadaptproto,alpha1.0_gamma0.0_seed456/fedadaptproto,site_B,0.7721705589452275,0.4471091617241556,0.0583925941510623,0.787634,0.45449,0.1471,8.4,-0.015463441054772487,-0.0073808382758444036
1.0_0.0,456,A_gammA_S,fedadaptproto,alpha1.0_gamma0.0_seed456/fedadaptproto,site_C,0.8002916492585542,0.5083939894846582,0.0558224627042183,0.801448,0.531717,0.1742,4.6,-0.0011563507414458218,-0.023323010515341802
1.0_0.0,456,A_gammA_S,fedadaptproto,alpha1.0_gamma0.0_seed456/fedadaptproto,site_D,0.7675046618837023,0.3349819456490966,0.0688255568314589,0.761555,0.357275,0.1221,7.2,0.005949661883702273,-0.022293054350903396
1.0_0.0,456,A_gammA_S,fedadaptproto,alpha1.0_gamma0.0_seed456/fedadaptproto,site_E,0.7556472922114853,0.3095910022592874,0.0452554400230037,0.768119,0.342945,0.1071,7.6,-0.012471707788514697,-0.033353997740712626
1.0_0.0,456,A_gammA_S,scaffold,alpha1.0_gamma0.0_seed456/scaffold,site_A,0.7961146199051433,0.6168727062146743,0.0491126928055699,0.789323,0.616259,0.2621,8.0,0.00679161990514332,0.00061370621467427
1.0_0.0,456,A_gammA_S,scaffold,alpha1.0_gamma0.0_seed456/scaffold,site_B,0.7695301213268813,0.4071851562114686,0.0557521565327161,0.787634,0.45449,0.1471,8.4,-0.01810387867311869,-0.04730484378853139
1.0_0.0,456,A_gammA_S,scaffold,alpha1.0_gamma0.0_seed456/scaffold,site_C,0.7965718485832538,0.4941795559665325,0.0521026620289178,0.801448,0.531717,0.1742,4.6,-0.004876151416746244,-0.03753744403346748
1.0_0.0,456,A_gammA_S,scaffold,alpha1.0_gamma0.0_seed456/scaffold,site_D,0.7512755315551776,0.277445230806408,0.0525964265029342,0.761555,0.357275,0.1221,7.2,-0.010279468444822415,-0.07982976919359203
1.0_0.0,456,A_gammA_S,scaffold,alpha1.0_gamma0.0_seed456/scaffold,site_E,0.7524865501786506,0.3044777253752495,0.042094697990169,0.768119,0.342945,0.1071,7.6,-0.01563244982134937,-0.038467274624750525
1.0_0.0,456,A_gammA_S,fedadapt,alpha1.0_gamma0.0_seed456/fedadapt,site_A,0.7917247653667406,0.6054831676974004,0.0447228382671672,0.789323,0.616259,0.2621,8.0,0.002401765366740638,-0.010775832302599597
1.0_0.0,456,A_gammA_S,fedadapt,alpha1.0_gamma0.0_seed456/fedadapt,site_B,0.7714166491338803,0.4168989220675509,0.0576386843397151,0.787634,0.45449,0.1471,8.4,-0.01621735086611964,-0.03759107793244909
1.0_0.0,456,A_gammA_S,fedadapt,alpha1.0_gamma0.0_seed456/fedadapt,site_C,0.8003382088464459,0.515821947817879,0.0558690222921099,0.801448,0.531717,0.1742,4.6,-0.0011097911535541405,-0.01589505218212095
1.0_0.0,456,A_gammA_S,fedadapt,alpha1.0_gamma0.0_seed456/fedadapt,site_D,0.7578189079976834,0.3038113562011034,0.05913980294544,0.761555,0.357275,0.1221,7.2,-0.0037360920023166155,-0.05346364379889662
